"","BCCM 082","BCCM 083","BCCM 085","BCCM 087","BCCM 088","BCCM 089","BCCM 090","BCCM 091","BCCM 092","BCCM 093","BCCM 094","BCCM 095","BCCM 096","BCCM 097","BCCM 098","BCCM 099","BCCM 100","BCCM 101","BCCM 102","BCCM 3241","CDC1551.1","Erdman.1","H37Rv new","HN878.1","NR123","Strain210.1","TDR1","TDR116","TDR144","TDR146","TDR152","TDR156","TDR180","TDR188","TDR19","TDR193","TDR196","TDR33","TDR34","TDR5","TDR51","TDR58","TDR64","TDR69","TDR74","TDR76","TDR86","TDR89","TDR91","TMC102"
"BCCM 097",2832,2572,2560,2676,2462,2742,2635,2640,2741,2621,2749,518,588,0,2644,2485,2599,2671,2619,2500,2680,2512,2995,2396,3006,2618,2658,2504,2505,2604,2549,2667,2532,2656,2518,2559,2445,2695,2649,2711,2737,2773,2561,2738,2554,2338,2321,2708,2649,2997
"BCCM 098",2797,2884,2575,2899,2472,2705,2626,2653,2786,2895,2920,2348,2432,2644,0,949,1403,2866,2793,2516,2849,2688,2783,2450,2812,2753,2723,2507,2746,2610,2750,2782,2780,2555,2554,2692,2479,2764,2594,2794,2945,2983,2704,2949,2690,2347,2459,2831,2853,2785
"BCCM 099",2814,2731,2525,2418,2505,2749,2624,2628,2834,2867,2857,2386,2446,2485,949,0,799,2860,2629,2517,2898,2675,2793,2460,2742,2747,2719,2521,2774,2619,2688,2851,2919,2543,2540,2708,2483,2884,2658,2607,2612,2650,2545,2621,2693,2388,2479,2635,2802,2795
"BCCM 100",2737,2544,2571,2577,2473,2604,2646,2636,2887,2839,2884,2511,2586,2599,1403,799,0,2919,3087,2690,2750,2594,2692,2657,2673,2879,2716,2692,2771,2834,2516,2696,2881,2610,2750,2553,2729,2907,2555,2605,2695,2733,2503,2701,2519,2379,2672,2642,2668,2694
"BCCM 101",2789,2603,2358,2234,2259,2339,2371,2309,2392,2297,2452,2620,2658,2671,2866,2860,2919,0,2645,2247,2439,2377,2359,2302,2356,2434,2618,2185,2411,2613,2291,2312,2663,2362,2340,2382,2292,2257,2450,2764,2415,2453,2364,2426,2339,2200,2165,2367,2389,2361
"BCCM 102",1171,1167,2459,2522,2379,2602,2500,2561,2768,2626,2787,2637,2662,2619,2793,2629,3087,2645,0,2518,2706,2715,2921,2347,2914,2732,1230,2427,2701,1192,2442,2593,2819,2608,2444,2502,2405,2652,2669,1080,2746,2784,2575,2747,2447,2213,2444,2717,2580,2923
"BCCM 3241",2574,2832,781,1130,722,1590,1495,1616,1652,1697,1754,2461,2472,2500,2516,2517,2690,2247,2518,0,1659,1561,2347,684,2342,849,2656,1530,1586,2583,1674,1682,1891,1573,810,1687,731,1643,1702,2755,2322,2342,1548,2334,1674,1467,667,1714,1633,2349
"CDC1551.1",2640,2610,1793,1752,1707,1817,1721,1692,1383,1435,1311,2657,2664,2680,2849,2898,2750,2439,2706,1659,0,971,1362,1638,1355,1597,2456,181,1362,2681,1228,1306,1171,1824,1735,1301,1653,1256,1845,2475,1190,1172,949,1161,1256,577,1639,1089,1311,1364
"Erdman.1",2511,2343,1651,1708,1558,1811,1573,1901,1153,1217,1344,2487,2561,2512,2688,2675,2594,2377,2715,1561,971,0,1178,1507,1173,1489,2242,973,1160,2613,1157,1153,901,1642,1615,1178,1601,1082,1762,2362,1294,1306,278,1320,1153,880,1627,415,1119,1180
"H37Rv new",2688,3298,2311,1855,2302,1968,2134,1964,1042,1123,1368,2623,2864,2995,2783,2793,2692,2359,2921,2347,1362,1178,0,2276,13,2223,3175,1454,1330,2790,975,1073,1348,1841,2357,1144,2267,672,1866,3227,1055,1088,1232,1071,1001,1389,2316,1152,1161,4
"HN878.1",2397,2807,268,1114,252,1541,1449,1552,1656,1659,1676,2354,2396,2396,2450,2460,2657,2302,2347,684,1638,1507,2276,0,2292,252,2558,1695,1514,2418,1634,1598,1826,1526,307,1667,554,1589,1571,2708,2128,2161,1488,2157,1562,1404,394,1683,1554,2299
"NR123",2683,3295,2306,1850,2305,1964,2129,1961,1037,1117,1378,2615,2861,3006,2812,2742,2673,2356,2914,2342,1355,1173,13,2292,0,2218,3170,1474,1325,2785,969,1067,1381,1836,2352,1139,2262,662,1860,3222,1051,1084,1227,1067,996,1367,2321,1147,1155,15
"Strain210.1",2619,2730,429,1295,453,1745,1630,1689,1571,1645,1716,2555,2586,2618,2753,2747,2879,2434,2732,849,1597,1489,2223,252,2218,0,2674,1563,1605,2606,1541,1572,1741,1595,432,1577,627,1579,1756,2768,2044,2077,1453,2082,1544,1519,634,1582,1594,2224
"TDR1",1330,752,2685,2803,2603,2460,2405,2462,2989,2876,2791,2654,2647,2658,2723,2719,2716,2618,1230,2656,2456,2242,3175,2558,3170,2674,0,2762,2290,1554,2796,3041,3068,2586,2664,2772,2626,2808,2543,676,2464,2506,2316,2493,2806,2525,2525,2329,2889,3182
"TDR116",2444,2749,1816,1691,1719,1898,1595,1686,1211,1328,1292,2447,2505,2504,2507,2521,2692,2185,2427,1530,181,973,1454,1695,1474,1563,2762,0,1134,2451,1279,1325,1230,1720,1649,1267,1556,1189,1768,2729,1649,1683,863,1682,1280,475,1654,1128,1203,1498
"TDR144",2720,2330,1545,1823,1519,1890,1694,1774,1215,1209,713,2558,2559,2505,2746,2774,2771,2411,2701,1586,1362,1160,1330,1514,1325,1605,2290,1134,0,2499,1167,1138,1320,1950,1674,1181,1551,1211,1981,2351,1221,1255,1157,1241,1173,1137,1570,1148,1207,1332
"TDR146",1294,1398,2684,2621,2453,2781,2649,2697,2822,2604,2898,2645,2658,2604,2610,2619,2834,2613,1192,2583,2681,2613,2790,2418,2785,2606,1554,2451,2499,0,2524,2634,2647,2617,2563,2457,2485,2647,2723,1502,2634,2671,2704,2641,2529,2249,2512,2928,2656,2636
"TDR152",2352,2694,1677,1581,1605,1813,1675,1866,1013,691,1185,2525,2524,2549,2750,2688,2516,2291,2442,1674,1228,1157,975,1634,969,1541,2796,1279,1167,2524,0,653,1001,1783,1729,390,1629,907,1803,2871,1301,1141,1089,1124,22,1043,1627,1110,800,1161
"TDR156",2544,2996,1670,1727,1613,1830,1691,1823,956,399,1268,2608,2641,2667,2782,2851,2696,2312,2593,1682,1306,1153,1073,1598,1067,1572,3041,1325,1138,2634,653,0,1284,1780,1724,611,1666,914,1884,2964,1123,1156,1152,1153,692,1120,1606,1130,236,1055
"TDR180",2718,3079,1905,1882,1914,2112,1884,2017,1245,1295,1417,2539,2543,2532,2780,2919,2881,2663,2819,1891,1171,901,1348,1826,1381,1741,3068,1230,1320,2647,1001,1284,0,2016,1904,1182,1861,1280,2021,3124,1559,1575,1063,1589,1085,1096,1834,1045,1348,1460
"TDR188",2472,2709,1728,1425,1562,517,830,536,1724,1805,1992,2581,2608,2656,2555,2543,2610,2362,2608,1573,1824,1642,1841,1526,1836,1595,2586,1720,1950,2617,1783,1780,2016,0,1731,1714,1581,1812,624,2694,1898,1802,1792,1775,1749,1517,1488,1733,1741,1853
"TDR19",2479,2904,497,1180,347,1760,1616,1776,1761,1745,1755,2476,2507,2518,2554,2540,2750,2340,2444,810,1735,1615,2357,307,2352,432,2664,1649,1674,2563,1729,1724,1904,1731,0,1784,595,1668,1706,2796,2190,2220,1592,2257,1771,1469,495,1762,1658,2364
"TDR193",2435,2903,1738,1763,1678,1860,1719,1942,1090,856,1308,2367,2399,2559,2692,2708,2553,2382,2502,1687,1301,1178,1144,1667,1139,1577,2772,1267,1181,2457,390,611,1182,1714,1784,0,1652,1001,1915,2861,1205,1237,1159,1211,390,1119,1647,1194,687,1122
"TDR196",2450,2881,616,1129,523,1593,1549,1594,1684,1707,1705,2395,2461,2445,2479,2483,2729,2292,2405,731,1653,1601,2267,554,2262,627,2626,1556,1551,2485,1629,1666,1861,1581,595,1652,0,1586,1546,2767,2067,2095,1552,2159,1634,1403,479,1722,1616,2271
"TDR33",2490,2813,1679,1571,1609,1752,1590,1706,829,975,1286,2580,2562,2695,2764,2884,2907,2257,2652,1643,1256,1082,672,1589,662,1579,2808,1189,1211,2647,907,914,1280,1812,1668,1001,1586,0,1715,2871,1188,1096,1245,1210,929,1082,1553,1265,1011,672
"TDR34",2516,2641,1702,1567,1692,501,843,601,1751,1891,2003,2610,2656,2649,2594,2658,2555,2450,2669,1702,1845,1762,1866,1571,1860,1756,2543,1768,1981,2723,1803,1884,2021,624,1706,1915,1546,1715,0,2637,2080,2025,1893,2136,1783,1562,1597,1933,1946,1918
"TDR5",1375,636,2837,2868,2750,2557,2404,2538,3111,2865,2857,2607,2614,2711,2794,2607,2605,2764,1080,2755,2475,2362,3227,2708,3222,2768,676,2729,2351,1502,2871,2964,3124,2694,2796,2861,2767,2871,2637,0,2431,2469,2459,2443,2885,2614,2684,2364,3056,3243
"TDR51",2526,2449,2161,1687,2113,1965,1664,1765,972,1341,1307,2617,2697,2737,2945,2612,2695,2415,2746,2322,1190,1294,1055,2128,1051,2044,2464,1649,1221,2634,1301,1123,1559,1898,2190,1205,2067,1188,2080,2431,0,33,1209,41,1126,1297,1999,1228,1204,1068
"TDR58",2564,2487,2191,1718,2143,2002,1699,1802,1005,1274,1284,2653,2733,2773,2983,2650,2733,2453,2784,2342,1172,1306,1088,2161,1084,2077,2506,1683,1255,2671,1141,1156,1575,1802,2220,1237,2095,1096,2025,2469,33,0,1242,16,1157,1325,2029,1262,1237,1092
"TDR64",2674,2423,1695,1550,1530,1809,1772,1818,1093,1170,1266,2509,2446,2561,2704,2545,2503,2364,2575,1548,949,278,1232,1488,1227,1453,2316,863,1157,2704,1089,1152,1063,1792,1592,1159,1552,1245,1893,2459,1209,1242,0,1222,1132,895,1615,490,1109,1202
"TDR69",2533,2461,2196,1737,2179,1944,1679,1808,993,1254,1267,2737,2565,2738,2949,2621,2701,2426,2747,2334,1161,1320,1071,2157,1067,2082,2493,1682,1241,2641,1124,1153,1589,1775,2257,1211,2159,1210,2136,2443,41,16,1222,0,1142,1330,2076,1236,1254,1084
"TDR74",2366,2909,1670,1626,1606,1818,1670,1791,1043,695,1267,2515,2534,2554,2690,2693,2519,2339,2447,1674,1256,1153,1001,1562,996,1544,2806,1280,1173,2529,22,692,1085,1749,1771,390,1634,929,1783,2885,1126,1157,1132,1142,0,1043,1627,1369,805,973
"TDR76",2218,2564,1597,1498,1428,1521,1468,1533,1070,1121,1199,2268,2323,2338,2347,2388,2379,2200,2213,1467,577,880,1389,1404,1367,1519,2525,475,1137,2249,1043,1120,1096,1517,1469,1119,1403,1082,1562,2614,1297,1325,895,1330,1043,0,1361,904,1234,1335
"TDR86",2495,2781,520,1057,431,1722,1549,1688,1675,1630,1612,2278,2332,2321,2459,2479,2672,2165,2444,667,1639,1627,2316,394,2321,634,2525,1654,1570,2512,1627,1606,1834,1488,495,1647,479,1553,1597,2684,1999,2029,1615,2076,1627,1361,0,1668,1598,2264
"TDR89",2693,2405,1718,1622,1711,1909,1743,1820,1074,1213,1376,2588,2618,2708,2831,2635,2642,2367,2717,1714,1089,415,1152,1683,1147,1582,2329,1128,1148,2928,1110,1130,1045,1733,1762,1194,1722,1265,1933,2364,1228,1262,490,1236,1369,904,1668,0,1193,1154
"TDR91",2613,3016,1652,1764,1585,1913,1767,1937,1028,538,1323,2662,2692,2649,2853,2802,2668,2389,2580,1633,1311,1119,1161,1554,1155,1594,2889,1203,1207,2656,800,236,1348,1741,1658,687,1616,1011,1946,3056,1204,1237,1109,1254,805,1234,1598,1193,0,1160
"TMC102",2690,3300,2313,1857,2304,1970,2136,1966,1044,1125,1370,2625,2866,2997,2785,2795,2694,2361,2923,2349,1364,1180,4,2299,15,2224,3182,1498,1332,2636,1161,1055,1460,1853,2364,1122,2271,672,1918,3243,1068,1092,1202,1084,973,1335,2264,1154,1160,0
