gene,org,cluster
2,MIT9301,GC_00000249
2,MIT9303,GC_00000249
2,MIT9312,GC_00000249
2,MIT9515,GC_00000249
2,"NATL1A",GC_00000249
2,"NATL2A",GC_00000249
2,EQPAC1,GC_00000434
2,MIT9321,GC_00000470
2,SS2,GC_00000507
2,GP2,GC_00000626
2,MIT9201,GC_00000667
2,MIT9322,GC_00000726
2,LG,GC_00000826
2,SS51,GC_00000861
2,MIT9107,GC_00000894
2,MIT9116,GC_00000976
2,MIT9202,GC_00001046
2,MIT9401,GC_00001329
2,MIT9123,GC_00001556
2,SB,GC_00001993
2,SS35,GC_00002312
2,MIT9314,GC_00002983
2,PAC1,GC_00004613
2,MIT9313,GC_00004895
2,MIT9302,GC_00005587
3,MIT9116,GC_00000043
3,AS9601,GC_00000104
3,CCMP1375,GC_00000104
3,MED4,GC_00000104
3,MIT9211,GC_00000104
3,MIT9215,GC_00000104
3,MIT9301,GC_00000104
3,MIT9303,GC_00000104
3,MIT9312,GC_00000104
3,MIT9515,GC_00000104
3,"NATL1A",GC_00000104
3,"NATL2A",GC_00000104
3,MIT9201,GC_00000131
3,MIT9313,GC_00000249
3,LG,GC_00000319
3,MIT9322,GC_00000472
3,MIT9321,GC_00000590
3,MIT9401,GC_00000644
3,SS51,GC_00000728
3,GP2,GC_00000743
3,SB,GC_00000881
3,SS35,GC_00001020
3,MIT9202,GC_00001026
3,MIT9107,GC_00001081
3,EQPAC1,GC_00001447
3,MIT9314,GC_00001878
3,SS2,GC_00002548
3,MIT9123,GC_00003123
3,MIT9302,GC_00003291
3,PAC1,GC_00003493
3,MIT9311,GC_00004048
4,MIT9116,GC_00000050
4,MIT9313,GC_00000104
4,MIT9322,GC_00000442
4,GP2,GC_00000475
4,SS2,GC_00000636
4,MIT9123,GC_00000885
4,MIT9201,GC_00000932
4,MIT9107,GC_00001223
4,MIT9401,GC_00001301
4,AS9601,GC_00001400
4,MED4,GC_00001400
4,MIT9215,GC_00001400
4,MIT9301,GC_00001400
4,MIT9312,GC_00001400
4,MIT9515,GC_00001400
4,MIT9321,GC_00001439
4,EQPAC1,GC_00001514
4,MIT9202,GC_00001677
4,MIT9314,GC_00001691
4,CCMP1375,GC_00001756
4,MIT9211,GC_00001756
4,MIT9303,GC_00001756
4,"NATL1A",GC_00001756
4,"NATL2A",GC_00001756
4,SS35,GC_00002265
4,LG,GC_00002576
4,SS51,GC_00002655
4,SB,GC_00002974
4,MIT9311,GC_00004174
4,MIT9302,GC_00006842
4,PAC1,GC_00006917
5,MIT9201,GC_00000066
5,GP2,GC_00000196
5,MIT9116,GC_00000209
5,SS51,GC_00000286
5,EQPAC1,GC_00000836
5,SS35,GC_00000836
5,MIT9107,GC_00001217
5,MIT9322,GC_00001339
5,AS9601,GC_00001357
5,MED4,GC_00001357
5,MIT9215,GC_00001357
5,MIT9301,GC_00001357
5,MIT9312,GC_00001357
5,MIT9515,GC_00001357
5,MIT9321,GC_00001370
5,MIT9123,GC_00001401
5,MIT9401,GC_00001448
5,MIT9202,GC_00001673
5,SB,GC_00001675
5,MIT9313,GC_00001756
5,CCMP1375,GC_00002330
5,MIT9211,GC_00002330
5,LG,GC_00002524
5,SS2,GC_00002547
5,MIT9314,GC_00002828
5,PAC1,GC_00002959
5,"NATL1A",GC_00002980
5,"NATL2A",GC_00002980
5,MIT9311,GC_00004236
5,MIT9303,GC_00004620
5,MIT9302,GC_00005841
6,SS2,GC_00000015
6,GP2,GC_00000053
6,MIT9116,GC_00000124
6,MIT9123,GC_00000156
6,SS51,GC_00000484
6,AS9601,GC_00000500
6,CCMP1375,GC_00000500
6,MED4,GC_00000500
6,MIT9211,GC_00000500
6,MIT9215,GC_00000500
6,MIT9301,GC_00000500
6,MIT9303,GC_00000500
6,MIT9312,GC_00000500
6,MIT9515,GC_00000500
6,"NATL2A",GC_00000500
6,MIT9321,GC_00000547
6,MIT9202,GC_00001003
6,MIT9201,GC_00001090
6,MIT9322,GC_00001162
6,MIT9107,GC_00001277
6,MIT9401,GC_00001604
6,EQPAC1,GC_00001985
6,SB,GC_00002122
6,SS35,GC_00002241
6,LG,GC_00002457
6,MIT9314,GC_00002821
6,"NATL1A",GC_00002980
6,PAC1,GC_00003444
6,MIT9311,GC_00004167
6,MIT9313,GC_00004620
6,MIT9302,GC_00005432
7,MIT9123,GC_00000246
7,AS9601,GC_00000337
7,CCMP1375,GC_00000337
7,MED4,GC_00000337
7,MIT9211,GC_00000337
7,MIT9215,GC_00000337
7,MIT9301,GC_00000337
7,MIT9312,GC_00000337
7,MIT9515,GC_00000337
7,"NATL2A",GC_00000337
7,MIT9313,GC_00000500
7,"NATL1A",GC_00000500
7,MIT9321,GC_00000514
7,MIT9107,GC_00000519
7,MIT9202,GC_00000780
7,MIT9201,GC_00000829
7,EQPAC1,GC_00001054
7,MIT9322,GC_00001122
7,GP2,GC_00001156
7,MIT9302,GC_00001165
7,MIT9116,GC_00001283
7,MIT9401,GC_00001386
7,PAC1,GC_00001651
7,SS2,GC_00001967
7,SS35,GC_00002275
7,MIT9314,GC_00002377
7,LG,GC_00002426
7,SS51,GC_00002695
7,SB,GC_00002821
7,MIT9311,GC_00004039
7,MIT9303,GC_00004308
8,MIT9123,GC_00000221
8,MIT9303,GC_00000337
8,"NATL1A",GC_00000337
8,SS35,GC_00000434
8,SS2,GC_00000449
8,SS51,GC_00000637
8,MIT9202,GC_00000951
8,EQPAC1,GC_00001020
8,MIT9302,GC_00001064
8,MIT9201,GC_00001143
8,AS9601,GC_00001178
8,MED4,GC_00001178
8,MIT9215,GC_00001178
8,MIT9301,GC_00001178
8,MIT9312,GC_00001178
8,MIT9515,GC_00001178
8,MIT9401,GC_00001271
8,MIT9322,GC_00001332
8,MIT9321,GC_00001337
8,MIT9107,GC_00001362
8,GP2,GC_00001367
8,MIT9116,GC_00001518
8,PAC1,GC_00001650
8,CCMP1375,GC_00001802
8,MIT9211,GC_00001802
8,"NATL2A",GC_00001802
8,MIT9314,GC_00002204
8,LG,GC_00002586
8,MIT9311,GC_00004178
8,MIT9313,GC_00004308
8,SB,GC_00005491
9,AS9601,GC_00000026
9,CCMP1375,GC_00000026
9,MED4,GC_00000026
9,MIT9211,GC_00000026
9,MIT9215,GC_00000026
9,MIT9301,GC_00000026
9,MIT9312,GC_00000026
9,MIT9515,GC_00000026
9,"NATL2A",GC_00000026
9,MIT9201,GC_00000150
9,MIT9313,GC_00000337
9,MIT9321,GC_00000447
9,MIT9202,GC_00000794
9,SS35,GC_00000818
9,GP2,GC_00000902
9,MIT9116,GC_00000973
9,MIT9401,GC_00001059
9,MIT9107,GC_00001175
9,EQPAC1,GC_00001195
9,MIT9302,GC_00001197
9,MIT9123,GC_00001507
9,MIT9322,GC_00001590
9,PAC1,GC_00001649
9,MIT9303,GC_00001802
9,"NATL1A",GC_00001802
9,SB,GC_00001993
9,SS2,GC_00002033
9,SS51,GC_00002242
9,LG,GC_00002404
9,MIT9314,GC_00003347
9,MIT9311,GC_00004126
10,MIT9314,GC_00000009
10,MIT9303,GC_00000026
10,"NATL1A",GC_00000026
10,MIT9107,GC_00000029
10,GP2,GC_00000049
10,SS2,GC_00000174
10,MIT9302,GC_00000219
10,SS51,GC_00000448
10,MIT9321,GC_00000537
10,EQPAC1,GC_00000541
10,MIT9123,GC_00000611
10,MIT9201,GC_00000814
10,MIT9116,GC_00000912
10,MIT9322,GC_00001110
10,MIT9202,GC_00001133
10,MIT9401,GC_00001136
10,AS9601,GC_00001294
10,MED4,GC_00001294
10,MIT9215,GC_00001294
10,MIT9301,GC_00001294
10,MIT9312,GC_00001294
10,MIT9515,GC_00001294
10,PAC1,GC_00001624
10,MIT9313,GC_00001802
10,CCMP1375,GC_00001803
10,MIT9211,GC_00001803
10,"NATL2A",GC_00001803
10,SS35,GC_00002246
10,LG,GC_00002721
10,MIT9311,GC_00004227
10,SB,GC_00004239
11,MIT9123,GC_00000006
11,MIT9313,GC_00000026
11,GP2,GC_00000030
11,MIT9107,GC_00000130
11,SS51,GC_00000248
11,SS2,GC_00000277
11,MIT9322,GC_00000364
11,AS9601,GC_00000440
11,CCMP1375,GC_00000440
11,MED4,GC_00000440
11,MIT9215,GC_00000440
11,MIT9301,GC_00000440
11,MIT9312,GC_00000440
11,MIT9515,GC_00000440
11,"NATL2A",GC_00000440
11,MIT9201,GC_00000665
11,EQPAC1,GC_00000734
11,MIT9321,GC_00000796
11,MIT9202,GC_00000869
11,MIT9116,GC_00000931
11,MIT9401,GC_00001044
11,MIT9302,GC_00001111
11,SS35,GC_00001671
11,MIT9303,GC_00001803
11,"NATL1A",GC_00001803
11,SB,GC_00001928
11,MIT9314,GC_00002210
11,LG,GC_00002595
11,MIT9311,GC_00003311
11,MIT9211,GC_00005242
11,PAC1,GC_00005273
12,AS9601,GC_00000013
12,MIT9215,GC_00000013
12,MIT9301,GC_00000013
12,"NATL2A",GC_00000013
12,SS51,GC_00000302
12,MIT9211,GC_00000440
12,MIT9303,GC_00000440
12,"NATL1A",GC_00000440
12,GP2,GC_00000542
12,MIT9302,GC_00000543
12,MIT9201,GC_00000730
12,SS2,GC_00000756
12,MIT9401,GC_00000803
12,MIT9311,GC_00000857
12,MIT9116,GC_00000899
12,MIT9107,GC_00000933
12,EQPAC1,GC_00001077
12,MIT9321,GC_00001093
12,MIT9322,GC_00001219
12,MIT9123,GC_00001274
12,MIT9202,GC_00001586
12,MIT9313,GC_00001803
12,CCMP1375,GC_00002260
12,SS35,GC_00002263
12,LG,GC_00002683
12,MED4,GC_00002867
12,MIT9312,GC_00002867
12,MIT9515,GC_00002867
12,MIT9314,GC_00003284
12,PAC1,GC_00004759
12,SB,GC_00005917
13,MIT9303,GC_00000013
13,"NATL1A",GC_00000013
13,AS9601,GC_00000224
13,CCMP1375,GC_00000224
13,MED4,GC_00000224
13,MIT9215,GC_00000224
13,MIT9301,GC_00000224
13,MIT9312,GC_00000224
13,MIT9515,GC_00000224
13,"NATL2A",GC_00000224
13,EQPAC1,GC_00000390
13,MIT9313,GC_00000440
13,MIT9201,GC_00000536
13,MIT9321,GC_00000543
13,MIT9107,GC_00000859
13,MIT9202,GC_00000893
13,MIT9311,GC_00000960
13,MIT9116,GC_00001043
13,MIT9302,GC_00001093
13,MIT9123,GC_00001160
13,GP2,GC_00001373
13,MIT9322,GC_00001519
13,PAC1,GC_00001555
13,SS51,GC_00001773
13,SS2,GC_00001869
13,MIT9401,GC_00001904
13,MIT9314,GC_00002204
13,SS35,GC_00002248
13,MIT9211,GC_00002260
13,LG,GC_00002706
13,SB,GC_00002854
14,MIT9313,GC_00000013
14,MIT9116,GC_00000118
14,MIT9211,GC_00000224
14,MIT9303,GC_00000224
14,"NATL1A",GC_00000224
14,AS9601,GC_00000356
14,CCMP1375,GC_00000356
14,MED4,GC_00000356
14,MIT9215,GC_00000356
14,MIT9301,GC_00000356
14,MIT9312,GC_00000356
14,MIT9515,GC_00000356
14,"NATL2A",GC_00000356
14,SS2,GC_00000386
14,MIT9107,GC_00000461
14,EQPAC1,GC_00000565
14,MIT9322,GC_00000699
14,MIT9302,GC_00000796
14,MIT9123,GC_00000834
14,SB,GC_00000959
14,MIT9401,GC_00000993
14,MIT9202,GC_00001037
14,MIT9321,GC_00001111
14,GP2,GC_00001396
14,MIT9201,GC_00001416
14,MIT9311,GC_00002119
14,PAC1,GC_00002218
14,SS51,GC_00002333
14,SS35,GC_00002616
14,LG,GC_00002672
14,MIT9314,GC_00002830
15,MIT9123,GC_00000020
15,MIT9322,GC_00000052
15,MIT9107,GC_00000207
15,MIT9321,GC_00000219
15,MIT9313,GC_00000224
15,EQPAC1,GC_00000251
15,MIT9211,GC_00000356
15,MIT9303,GC_00000356
15,"NATL1A",GC_00000356
15,SS2,GC_00000518
15,MIT9116,GC_00000522
15,MIT9302,GC_00000537
15,AS9601,GC_00000657
15,CCMP1375,GC_00000657
15,MED4,GC_00000657
15,MIT9215,GC_00000657
15,MIT9301,GC_00000657
15,MIT9312,GC_00000657
15,MIT9515,GC_00000657
15,"NATL2A",GC_00000657
15,SS51,GC_00000838
15,GP2,GC_00001159
15,MIT9201,GC_00001270
15,MIT9202,GC_00001284
15,MIT9311,GC_00001536
15,MIT9401,GC_00001554
15,MIT9314,GC_00001882
15,SS35,GC_00002608
15,LG,GC_00002632
15,SB,GC_00003443
15,PAC1,GC_00004613
16,MIT9322,GC_00000052
16,MIT9201,GC_00000260
16,MIT9116,GC_00000294
16,MIT9313,GC_00000356
16,MIT9302,GC_00000447
16,SS2,GC_00000531
16,AS9601,GC_00000618
16,CCMP1375,GC_00000618
16,MED4,GC_00000618
16,MIT9215,GC_00000618
16,MIT9301,GC_00000618
16,MIT9312,GC_00000618
16,MIT9515,GC_00000618
16,"NATL2A",GC_00000618
16,MIT9107,GC_00000624
16,MIT9211,GC_00000657
16,"NATL1A",GC_00000657
16,MIT9123,GC_00000696
16,SS51,GC_00000806
16,MIT9401,GC_00000896
16,MIT9321,GC_00001197
16,EQPAC1,GC_00001287
16,GP2,GC_00001303
16,SB,GC_00001663
16,MIT9314,GC_00002124
16,MIT9303,GC_00002155
16,SS35,GC_00002512
16,LG,GC_00002680
16,MIT9311,GC_00003998
16,MIT9202,GC_00005571
16,PAC1,GC_00005965
17,MIT9202,GC_00000014
17,GP2,GC_00000076
17,SS51,GC_00000087
17,SS2,GC_00000312
17,MIT9116,GC_00000346
17,MIT9107,GC_00000439
17,MIT9211,GC_00000618
17,"NATL1A",GC_00000618
17,EQPAC1,GC_00000863
17,SB,GC_00000989
17,MIT9321,GC_00001064
17,PAC1,GC_00001074
17,MIT9401,GC_00001088
17,MIT9201,GC_00001154
17,AS9601,GC_00001261
17,MED4,GC_00001261
17,MIT9215,GC_00001261
17,MIT9301,GC_00001261
17,MIT9312,GC_00001261
17,MIT9515,GC_00001261
17,MIT9302,GC_00001337
17,MIT9322,GC_00001443
17,MIT9123,GC_00001496
17,MIT9311,GC_00001577
17,CCMP1375,GC_00002007
17,MIT9313,GC_00002155
17,LG,GC_00002251
17,SS35,GC_00002451
17,MIT9314,GC_00002832
17,"NATL2A",GC_00003828
17,MIT9303,GC_00004404
18,EQPAC1,GC_00000247
18,MIT9116,GC_00000332
18,MIT9302,GC_00000514
18,MIT9201,GC_00000608
18,MIT9107,GC_00000656
18,GP2,GC_00000724
18,MIT9311,GC_00000775
18,MIT9123,GC_00000807
18,MIT9322,GC_00001035
18,MIT9202,GC_00001045
18,SB,GC_00001123
18,MIT9321,GC_00001165
18,AS9601,GC_00001233
18,MED4,GC_00001233
18,MIT9215,GC_00001233
18,MIT9301,GC_00001233
18,MIT9312,GC_00001233
18,MIT9515,GC_00001233
18,MIT9401,GC_00001419
18,SS51,GC_00001785
18,SS35,GC_00001946
18,PAC1,GC_00002003
18,MIT9211,GC_00002007
18,SS2,GC_00002170
18,MIT9314,GC_00002203
18,MIT9303,GC_00002369
18,LG,GC_00002659
18,CCMP1375,GC_00002714
18,"NATL2A",GC_00003810
18,"NATL1A",GC_00003828
18,MIT9313,GC_00004404
19,LG,GC_00000002
19,MIT9311,GC_00000111
19,GP2,GC_00000222
19,MIT9107,GC_00000258
19,AS9601,GC_00000324
19,CCMP1375,GC_00000324
19,MED4,GC_00000324
19,MIT9215,GC_00000324
19,MIT9301,GC_00000324
19,MIT9312,GC_00000324
19,MIT9515,GC_00000324
19,"NATL2A",GC_00000324
19,SS51,GC_00000523
19,MIT9302,GC_00000547
19,SS2,GC_00000589
19,MIT9123,GC_00000627
19,EQPAC1,GC_00000751
19,SB,GC_00000791
19,MIT9202,GC_00000811
19,MIT9201,GC_00001202
19,MIT9116,GC_00001218
19,MIT9401,GC_00001298
19,MIT9322,GC_00001605
19,MIT9313,GC_00002369
19,SS35,GC_00002569
19,MIT9211,GC_00003067
19,MIT9321,GC_00003102
19,"NATL1A",GC_00003810
19,MIT9303,GC_00004409
19,PAC1,GC_00006156
19,MIT9314,GC_00006993
20,MIT9211,GC_00000324
20,"NATL1A",GC_00000324
20,MIT9202,GC_00000369
20,MIT9107,GC_00000616
20,MIT9311,GC_00000639
20,MIT9303,GC_00000657
20,MIT9123,GC_00000752
20,GP2,GC_00000865
20,SB,GC_00000872
20,EQPAC1,GC_00001062
20,MIT9116,GC_00001070
20,MIT9401,GC_00001211
20,MIT9322,GC_00001253
20,MIT9201,GC_00001327
20,AS9601,GC_00001348
20,MED4,GC_00001348
20,MIT9215,GC_00001348
20,MIT9301,GC_00001348
20,MIT9312,GC_00001348
20,MIT9515,GC_00001348
20,MIT9302,GC_00001370
20,CCMP1375,GC_00001748
20,"NATL2A",GC_00001748
20,SS2,GC_00001782
20,SS51,GC_00001791
20,MIT9314,GC_00002368
20,SS35,GC_00002539
20,LG,GC_00002694
20,PAC1,GC_00002854
20,MIT9321,GC_00003200
20,MIT9313,GC_00004409
21,MIT9314,GC_00000010
21,GP2,GC_00000089
21,MIT9123,GC_00000167
21,EQPAC1,GC_00000192
21,SS2,GC_00000371
21,MIT9303,GC_00000618
21,MIT9313,GC_00000657
21,MIT9202,GC_00000808
21,MIT9322,GC_00000911
21,MIT9116,GC_00001002
21,MIT9201,GC_00001007
21,SB,GC_00001198
21,AS9601,GC_00001299
21,MED4,GC_00001299
21,MIT9215,GC_00001299
21,MIT9301,GC_00001299
21,MIT9312,GC_00001299
21,MIT9515,GC_00001299
21,MIT9311,GC_00001368
21,MIT9107,GC_00001399
21,MIT9302,GC_00001439
21,MIT9401,GC_00001467
21,MIT9211,GC_00001748
21,"NATL1A",GC_00001748
21,CCMP1375,GC_00002099
21,SS35,GC_00002411
21,SS51,GC_00002653
21,LG,GC_00002698
21,PAC1,GC_00002960
21,MIT9321,GC_00003090
21,"NATL2A",GC_00003569
22,MIT9123,GC_00000139
22,MIT9107,GC_00000305
22,SB,GC_00000490
22,MIT9302,GC_00000590
22,MIT9313,GC_00000618
22,AS9601,GC_00000747
22,CCMP1375,GC_00000747
22,MED4,GC_00000747
22,MIT9215,GC_00000747
22,MIT9301,GC_00000747
22,MIT9312,GC_00000747
22,MIT9515,GC_00000747
22,"NATL2A",GC_00000747
22,SS2,GC_00000793
22,MIT9202,GC_00000873
22,MIT9116,GC_00000877
22,MIT9322,GC_00000964
22,EQPAC1,GC_00001108
22,MIT9311,GC_00001250
22,MIT9201,GC_00001258
22,MIT9401,GC_00001695
22,PAC1,GC_00001986
22,SS35,GC_00001992
22,MIT9303,GC_00002007
22,MIT9211,GC_00002099
22,MIT9314,GC_00002125
22,LG,GC_00002269
22,SS51,GC_00002299
22,MIT9321,GC_00003205
22,"NATL1A",GC_00003569
22,GP2,GC_00005441
23,MIT9123,GC_00000283
23,MIT9302,GC_00000470
23,SS2,GC_00000613
23,MIT9201,GC_00000691
23,SB,GC_00000710
23,MIT9211,GC_00000747
23,"NATL1A",GC_00000747
23,MIT9202,GC_00000784
23,MIT9116,GC_00000877
23,EQPAC1,GC_00000903
23,MIT9314,GC_00001019
23,MIT9401,GC_00001191
23,MIT9107,GC_00001229
23,MIT9322,GC_00001347
23,AS9601,GC_00001389
23,MED4,GC_00001389
23,MIT9215,GC_00001389
23,MIT9301,GC_00001389
23,MIT9312,GC_00001389
23,MIT9515,GC_00001389
23,MIT9311,GC_00001472
23,SS51,GC_00001746
23,SS35,GC_00001953
23,MIT9313,GC_00002007
23,CCMP1375,GC_00002290
23,LG,GC_00002318
23,PAC1,GC_00002992
23,MIT9303,GC_00003067
23,MIT9321,GC_00003409
23,"NATL2A",GC_00003463
23,GP2,GC_00005497
24,MIT9116,GC_00000008
24,SS2,GC_00000223
24,MIT9107,GC_00000304
24,MIT9302,GC_00000321
24,MIT9303,GC_00000324
24,AS9601,GC_00000367
24,CCMP1375,GC_00000367
24,MED4,GC_00000367
24,MIT9215,GC_00000367
24,MIT9301,GC_00000367
24,MIT9312,GC_00000367
24,MIT9515,GC_00000367
24,"NATL2A",GC_00000367
24,MIT9201,GC_00000487
24,SS51,GC_00000620
24,MIT9311,GC_00000647
24,MIT9202,GC_00000786
24,SS35,GC_00000889
24,MIT9314,GC_00000925
24,MIT9401,GC_00000970
24,SB,GC_00001076
24,EQPAC1,GC_00001200
24,MIT9123,GC_00001471
24,MIT9322,GC_00001515
24,LG,GC_00002213
24,MIT9211,GC_00002290
24,PAC1,GC_00002857
24,MIT9313,GC_00003067
24,MIT9321,GC_00003153
24,"NATL1A",GC_00003463
24,GP2,GC_00005512
25,MIT9302,GC_00000069
25,AS9601,GC_00000288
25,CCMP1375,GC_00000288
25,MED4,GC_00000288
25,MIT9215,GC_00000288
25,MIT9301,GC_00000288
25,MIT9312,GC_00000288
25,MIT9515,GC_00000288
25,"NATL2A",GC_00000288
25,MIT9313,GC_00000324
25,MIT9211,GC_00000367
25,"NATL1A",GC_00000367
25,MIT9123,GC_00000571
25,SB,GC_00000733
25,EQPAC1,GC_00000748
25,SS2,GC_00000765
25,MIT9311,GC_00000819
25,MIT9202,GC_00001041
25,MIT9116,GC_00001163
25,MIT9322,GC_00001321
25,MIT9107,GC_00001323
25,MIT9401,GC_00001589
25,MIT9201,GC_00001662
25,MIT9314,GC_00001689
25,MIT9303,GC_00001748
25,SS35,GC_00001788
25,SS51,GC_00002657
25,LG,GC_00002798
25,PAC1,GC_00002850
25,MIT9321,GC_00003266
25,GP2,GC_00006976
26,MIT9123,GC_00000072
26,MIT9322,GC_00000128
26,AS9601,GC_00000217
26,CCMP1375,GC_00000217
26,MED4,GC_00000217
26,MIT9215,GC_00000217
26,MIT9301,GC_00000217
26,MIT9312,GC_00000217
26,MIT9515,GC_00000217
26,"NATL2A",GC_00000217
26,MIT9211,GC_00000288
26,"NATL1A",GC_00000288
26,MIT9311,GC_00000318
26,MIT9302,GC_00000701
26,MIT9107,GC_00000779
26,SS51,GC_00000910
26,MIT9201,GC_00001096
26,MIT9202,GC_00001149
26,MIT9116,GC_00001434
26,SB,GC_00001455
26,EQPAC1,GC_00001549
26,MIT9401,GC_00001608
26,SS35,GC_00001740
26,MIT9313,GC_00001748
26,SS2,GC_00001817
26,MIT9314,GC_00001868
26,MIT9303,GC_00002099
26,LG,GC_00002622
26,MIT9321,GC_00003152
26,PAC1,GC_00003748
26,GP2,GC_00005836
27,MIT9211,GC_00000217
27,"NATL1A",GC_00000217
27,MIT9116,GC_00000318
27,MIT9302,GC_00000393
27,SB,GC_00000709
27,MIT9303,GC_00000747
27,MIT9401,GC_00000815
27,MIT9322,GC_00000848
27,SS51,GC_00000876
27,AS9601,GC_00001049
27,MED4,GC_00001049
27,MIT9215,GC_00001049
27,MIT9301,GC_00001049
27,MIT9312,GC_00001049
27,MIT9515,GC_00001049
27,MIT9107,GC_00001215
27,MIT9123,GC_00001245
27,MIT9201,GC_00001341
27,EQPAC1,GC_00001428
27,MIT9311,GC_00001434
27,SS35,GC_00001579
27,MIT9202,GC_00001617
27,CCMP1375,GC_00002004
27,MIT9313,GC_00002099
27,LG,GC_00002678
27,SS2,GC_00002704
27,"NATL2A",GC_00003015
27,MIT9321,GC_00003202
27,MIT9314,GC_00003378
27,PAC1,GC_00003590
27,GP2,GC_00006074
28,MIT9123,GC_00000235
28,SB,GC_00000443
28,MIT9302,GC_00000566
28,MIT9107,GC_00000666
28,EQPAC1,GC_00000711
28,MIT9313,GC_00000747
28,MIT9201,GC_00000755
28,MIT9401,GC_00000804
28,MIT9116,GC_00000819
28,MIT9311,GC_00001163
28,AS9601,GC_00001328
28,MED4,GC_00001328
28,MIT9215,GC_00001328
28,MIT9301,GC_00001328
28,MIT9312,GC_00001328
28,MIT9515,GC_00001328
28,MIT9202,GC_00001559
28,MIT9322,GC_00001587
28,MIT9314,GC_00001674
28,CCMP1375,GC_00001896
28,"NATL2A",GC_00001896
28,MIT9211,GC_00002004
28,SS2,GC_00002060
28,MIT9321,GC_00002193
28,SS35,GC_00002421
28,SS51,GC_00002503
28,LG,GC_00002691
28,PAC1,GC_00002791
28,"NATL1A",GC_00003015
28,MIT9303,GC_00003973
28,GP2,GC_00006765
29,MIT9215,GC_00000005
29,MIT9312,GC_00000005
29,"NATL2A",GC_00000005
29,MIT9311,GC_00000008
29,MIT9314,GC_00000030
29,SB,GC_00000112
29,MIT9123,GC_00000188
29,MIT9107,GC_00000234
29,MIT9303,GC_00000367
29,MIT9201,GC_00000473
29,MIT9302,GC_00000544
29,MIT9322,GC_00000638
29,MIT9116,GC_00000647
29,SS2,GC_00000758
29,MIT9202,GC_00000987
29,EQPAC1,GC_00001061
29,MIT9401,GC_00001243
29,"NATL1A",GC_00001896
29,MIT9321,GC_00001983
29,SS35,GC_00002132
29,AS9601,GC_00002378
29,MIT9301,GC_00002378
29,CCMP1375,GC_00002400
29,SS51,GC_00002405
29,LG,GC_00002454
29,MED4,GC_00003372
29,MIT9515,GC_00003372
29,MIT9211,GC_00003445
29,PAC1,GC_00003495
29,MIT9313,GC_00003973
29,GP2,GC_00005528
30,AS9601,GC_00000005
30,CCMP1375,GC_00000005
30,MED4,GC_00000005
30,MIT9301,GC_00000005
30,MIT9515,GC_00000005
30,"NATL1A",GC_00000005
30,SS35,GC_00000013
30,MIT9107,GC_00000028
30,MIT9123,GC_00000132
30,SS2,GC_00000282
30,MIT9303,GC_00000288
30,MIT9313,GC_00000367
30,MIT9201,GC_00000418
30,MIT9314,GC_00000542
30,MIT9311,GC_00000877
30,MIT9321,GC_00000960
30,MIT9202,GC_00000996
30,MIT9401,GC_00001182
30,MIT9215,GC_00001262
30,MIT9312,GC_00001262
30,MIT9302,GC_00001325
30,SB,GC_00001326
30,MIT9116,GC_00001472
30,MIT9322,GC_00001548
30,SS51,GC_00002621
30,LG,GC_00002768
30,EQPAC1,GC_00003338
30,PAC1,GC_00003551
30,"NATL2A",GC_00003795
30,MIT9211,GC_00005228
30,GP2,GC_00007027
