V1	Cluster ID	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	Cluster Name	Types	Size	Organisms	Length	Identity
fig|1773.30302.peg.1875	UniRef90_A0A5B1BQB7	87.823	271	33	0	1	271	1	271	5.98e-171	482	Cluster: 3-keto-5-aminohexanoate cleavage protein	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium simiae (Mycobacterium habana)	275	0.9
fig|1773.30302.peg.2142	UniRef90_A0A1X2CRQ8	75.385	65	14	1	3	67	103	165	8.32e-24	96.7	Cluster: Uncharacterized protein	UniProtKB Unreviewed (TrEMBL); UniParc	4	Mycobacterium riyadhense; Mycobacterium simulans	166	0.9
fig|1773.30302.peg.2142	UniRef90_A0A1V3WEI3	70.149	67	20	0	2	68	15	81	1.24e-18	81.3	Cluster: Uncharacterized protein	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium kansasii	81	0.9
fig|1773.30302.peg.2142	UniRef90_UPI001FC9A94C	59.701	67	27	0	2	68	63	129	1.69e-18	82	Cluster: hypothetical protein	UniParc	1	Mycobacterium persicum	129	0.9
fig|1773.30302.peg.2142	UniRef90_A0A8E2IR52	59.701	67	27	0	2	68	105	171	4.11e-18	82.4	Cluster: Uncharacterized protein	UniProtKB Unreviewed (TrEMBL); UniParc	2	Mycobacterium persicum; Mycobacterium	171	0.9
fig|1773.30302.peg.2142	UniRef90_A0A1V3WCQ7	68.657	67	21	0	2	68	13	79	6.28e-18	79.3	Cluster: Uncharacterized protein	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium kansasii	79	0.9
fig|1773.30302.peg.25	UniRef90_P71592	100	139	0	0	1	139	1	139	1.59e-96	283	Cluster: Transcriptional regulator WhiB5	UniProtKB Reviewed (Swiss-Prot); UniProtKB Unreviewed (TrEMBL); UniParc	57	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv); Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh); Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97); Mycobacterium tuberculosis; Mycobacterium tuberculosis CAS/NITR204; Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra); Mycobacterium tuberculosis variant africanum K85; Mycobacterium bovis (strain BCG / Pasteur 1173P2); Mycobacterium tuberculosis variant bovis BCG; Mycobacterium tuberculosis variant bovis BCG str. Korea 1168P	139	0.9
fig|1773.30302.peg.25	UniRef90_R4M1D9	99.167	120	1	0	1	120	1	120	8.01e-81	243	Cluster: Transcriptional regulator WhiB	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium tuberculosis str. Haarlem/NITR202	153	0.9
fig|1773.30302.peg.25	UniRef90_A0A1X2LTS7	87.05	139	18	0	1	139	1	139	1.59e-78	237	Cluster: Transcriptional regulator WhiB	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium decipiens	139	0.9
fig|1773.30302.peg.25	UniRef90_A0A024JRV5	79.856	139	27	1	1	139	1	138	1.54e-76	232	Cluster: Transcriptional regulator WhiB	UniProtKB Unreviewed (TrEMBL); UniParc	16	Mycobacterium triplex; Mycobacterium stomatepiae; Mycobacterium lentiflavum; Mycobacterium simiae (Mycobacterium habana); Mycobacterium sherrisii; Mycobacterium ahvazicum; Mycobacterium numidiamassiliense; Mycobacterium montefiorense; Mycobacterium sp. Aquia_213; Mycobacterium sp. Aquia_216	138	0.9
fig|1773.30302.peg.25	UniRef90_A0A7V3I1Y5	80.576	139	26	1	1	139	1	138	3.96e-75	229	Cluster: Transcriptional regulator WhiB	UniProtKB Unreviewed (TrEMBL)	3	Actinomycetia bacterium; Mycobacterium helveticum	138	0.9
fig|1773.30302.peg.2590	UniRef90_P9WIB2	99.808	521	1	0	1	521	1	521	0	1060	Cluster: Phospholipase C B	UniProtKB Reviewed (Swiss-Prot); UniProtKB Unreviewed (TrEMBL); UniParc	168	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh); Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv); Mycobacterium tuberculosis; Mycobacterium tuberculosis (strain ATCC 35801 / TMC 107 / Erdman); Mycobacterium tuberculosis CPHL_A; Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra); Mycobacterium tuberculosis variant africanum K85; Mycobacterium canettii (strain CIPT 140010059); Mycobacterium canettii; Mycobacterium tuberculosis EAI5	521	0.9
fig|1773.30302.peg.2590	UniRef90_A0A7D6DVR5	85.221	521	77	0	1	521	8	528	0	910	Cluster: phospholipase C	UniProtKB Unreviewed (TrEMBL); UniParc	9	Mycobacterium vicinigordonae; Mycobacterium asiaticum	528	0.9
fig|1773.30302.peg.2590	UniRef90_A0A653EU32	86.898	519	68	0	3	521	3	521	0	897	Cluster: phospholipase C	UniProtKB Unreviewed (TrEMBL); UniParc	8	Mycobacterium riyadhense; Mycobacterium simulans	521	0.9
fig|1773.30302.peg.2590	UniRef90_UPI00067D1EC4	100	436	0	0	10	445	1	436	0	893	Cluster: phospholipase C	UniParc	7	Mycobacterium tuberculosis	469	0.9
fig|1773.30302.peg.2590	UniRef90_A0A655IQ71	99.771	437	1	0	85	521	1	437	0	889	Cluster: Membrane-associated phospholipase C 2 plcB	UniProtKB Unreviewed (TrEMBL); UniParc	4	Mycobacterium tuberculosis; Mycobacterium decipiens	437	0.9
fig|1773.30302.peg.306	UniRef90_A0A9Q6PHD7	100	938	0	0	1	938	1	938	0	1571	Cluster: PE domain-containing protein	UniProtKB Unreviewed (TrEMBL); UniParc	432	Mycobacterium tuberculosis; Mycobacterium canettii; Mycobacterium tuberculosis complex	938	0.9
fig|1773.30302.peg.306	UniRef90_UPI00045B4D4F	99.787	938	2	0	1	938	1	938	0	1567	Cluster: PE family protein	UniParc	1	Mycobacterium tuberculosis	938	0.9
fig|1773.30302.peg.306	UniRef90_UPI00045AE0CF	99.787	938	2	0	1	938	1	938	0	1565	Cluster: PE family protein	UniParc	9	Mycobacterium tuberculosis	938	0.9
fig|1773.30302.peg.306	UniRef90_UPI0021C894A9	99.68	938	0	1	1	938	1	935	0	1561	Cluster: PE family protein	UniParc	1	Mycobacterium tuberculosis	935	0.9
fig|1773.30302.peg.306	UniRef90_UPI00045B3C01	99.467	938	2	1	1	938	1	935	0	1558	Cluster: PE family protein	UniParc	1	Mycobacterium tuberculosis	935	0.9
fig|1773.30302.peg.436	UniRef90_UPI000847B2EC	99.929	1402	1	0	1	1402	1	1402	0	2826	Cluster: type I polyketide synthase	UniParc	1	Mycobacterium tuberculosis	1402	0.9
fig|1773.30302.peg.436	UniRef90_UPI00045AF757	99.929	1402	1	0	1	1402	1	1402	0	2826	Cluster: type I polyketide synthase	UniParc	1	Mycobacterium tuberculosis	1402	0.9
fig|1773.30302.peg.436	UniRef90_UPI0004596789	99.857	1402	2	0	1	1402	1	1402	0	2825	Cluster: type I polyketide synthase	UniParc	1	Mycobacterium tuberculosis	1402	0.9
fig|1773.30302.peg.436	UniRef90_UPI00045AF513	99.929	1402	1	0	1	1402	1	1402	0	2825	Cluster: type I polyketide synthase	UniParc	1	Mycobacterium tuberculosis	1402	0.9
fig|1773.30302.peg.436	UniRef90_A0A655IB62	99.857	1402	2	0	1	1402	1	1402	0	2825	Cluster: Acyltransferase domain-containing protein	UniProtKB Unreviewed (TrEMBL); UniParc	66	Mycobacterium tuberculosis	1402	0.9
fig|1773.30302.peg.619	UniRef90_A0A0E9APP5	100	40	0	0	1	40	1	40	1.33e-18	78.6	Cluster: Uncharacterized protein	UniProtKB Unreviewed (TrEMBL)	10	Mycobacterium tuberculosis; Mycobacterium tuberculosis CAS/NITR204; Mycobacterium tuberculosis (strain ATCC 35801 / TMC 107 / Erdman); Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh); Mycobacterium tuberculosis variant bovis BCG; Mycobacterium tuberculosis variant bovis BCG str. Korea 1168P; Mycobacterium orygis 112400015; Mycobacterium tuberculosis variant africanum; Mycobacterium tuberculosis EAI5	40	0.9
fig|1773.30302.peg.619	UniRef90_UPI0024BF5C71	54.545	33	14	1	1	33	57	88	6.2	33.5	Cluster: caspase family protein	UniParc	2	Bradyrhizobium canariense	880	0.9
fig|1773.30303.peg.1046	UniRef90_UPI001F3D7197	100	294	0	0	1	294	92	385	0	604	Cluster: IS3 family transposase	UniParc	1	Mycobacterium tuberculosis	385	0.9
fig|1773.30303.peg.1046	UniRef90_UPI0009B9197F	99.66	294	1	0	1	294	3	296	0	600	Cluster: IS3-like element IS987 family transposase	UniParc	2	Mycobacterium tuberculosis	296	0.9
fig|1773.30303.peg.1046	UniRef90_A0A0H4B978	99.66	294	1	0	1	294	35	328	0	600	Cluster: Transposase (Fragment)	UniProtKB Unreviewed (TrEMBL); UniParc	32	Mycobacterium tuberculosis	328	0.9
fig|1773.30303.peg.1046	UniRef90_A5U601	99.32	294	2	0	1	294	1	294	0	600	Cluster: IS6110 transposase	UniProtKB Unreviewed (TrEMBL); UniParc	3	Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra); Mycobacterium tuberculosis	294	0.9
fig|1773.30303.peg.1046	UniRef90_A0A120J3H3	100	291	0	0	4	294	2	292	0	597	Cluster: Integrase catalytic domain-containing protein	UniProtKB Unreviewed (TrEMBL); UniParc	3	Mycobacterium tuberculosis variant africanum; Mycobacterium tuberculosis	292	0.9
fig|1773.30303.peg.1047	UniRef90_P59801	100	108	0	0	1	108	1	108	1.27e-70	215	Cluster: Insertion element IS6110 uncharacterized 12.0 kDa protein	UniProtKB Reviewed (Swiss-Prot); UniProtKB Unreviewed (TrEMBL); UniParc	49	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97); Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra); Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh); Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv); Mycobacterium tuberculosis variant microti; Mycobacterium tuberculosis variant africanum; Mycobacterium tuberculosis (strain ATCC 35801 / TMC 107 / Erdman); Mycobacterium tuberculosis CAS/NITR204; Mycobacterium tuberculosis T46; Mycobacterium tuberculosis str. Haarlem/NITR202	108	0.9
fig|1773.30303.peg.1047	UniRef90_UPI0004598EE0	100	104	0	0	1	104	1	104	7.67e-67	206	Cluster: transposase	UniParc	3	Mycobacterium tuberculosis	136	0.9
fig|1773.30303.peg.1047	UniRef90_A0A1A3PXZ5	89.815	108	11	0	1	108	1	108	7.44e-63	195	Cluster: Transposase	UniProtKB Unreviewed (TrEMBL); UniParc	2	Mycobacterium sp. 1245111.1; Mycobacterium tuberculosis	108	0.9
fig|1773.30303.peg.1047	UniRef90_A0A1E3S2W7	92.233	103	8	0	1	103	1	103	1.98e-59	187	Cluster: Transposase	UniProtKB Unreviewed (TrEMBL); UniParc	2	Mycobacterium intermedium	126	0.9
fig|1773.30303.peg.1047	UniRef90_V7MV11	85.849	106	15	0	1	106	1	106	4.94e-59	186	Cluster: Transposase IS3	UniProtKB Unreviewed (TrEMBL)	4	Mycobacterium avium subsp. hominissuis 10-5606; Mycobacterium avium subsp. hominissuis; Mycobacterium avium 05-4293; Mycobacterium bouchedurhonense	108	0.9
fig|1773.30303.peg.1048	UniRef90_UPI00045AA291	100	151	0	0	1	151	1	151	1.85e-108	314	Cluster: LppA family lipoprotein	UniParc	8	Mycobacterium tuberculosis	151	0.9
fig|1773.30303.peg.1048	UniRef90_A0A655IYC3	99.18	122	1	0	1	122	1	122	1.34e-83	251	Cluster: Putative lipoprotein	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium tuberculosis	161	0.9
fig|1773.30303.peg.1048	UniRef90_UPI000B1E4135	99.18	122	1	0	1	122	1	122	1.88e-83	251	Cluster: LppA family lipoprotein	UniParc	6	Mycobacterium tuberculosis	162	0.9
fig|1773.30303.peg.1048	UniRef90_P9WK39	100	121	0	0	1	121	1	121	1.06e-81	249	Cluster: Uncharacterized lipoprotein LprP	UniProtKB Reviewed (Swiss-Prot); UniProtKB Unreviewed (TrEMBL); UniParc	79	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv); Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97); Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh); Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra); Mycobacterium tuberculosis; Mycobacterium tuberculosis CAS/NITR204; Mycobacterium tuberculosis (strain ATCC 35801 / TMC 107 / Erdman); Mycobacterium tuberculosis variant africanum K85; Mycobacterium bovis (strain BCG / Pasteur 1173P2); Mycobacterium tuberculosis variant bovis BCG	224	0.9
fig|1773.30303.peg.1048	UniRef90_A0A7I7MJ92	76.033	121	28	1	1	121	1	120	1.6e-58	190	Cluster: Putative lipoprotein LprP	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium shinjukuense	223	0.9
fig|1773.30303.peg.1153	UniRef90_A0A957ML50	42.424	33	19	0	12	44	37	69	1.9	34.7	Cluster: Glutaredoxin domain-containing protein	UniProtKB Unreviewed (TrEMBL)	4	Caldilineaceae bacterium; Caldilinea sp	120	0.9
fig|1773.30303.peg.1153	UniRef90_A0A936G7I2	37.5	32	20	0	13	44	38	69	3.8	33.5	Cluster: Glutaredoxin domain-containing protein	UniProtKB Unreviewed (TrEMBL)	1	Anaerolineales bacterium	116	0.9
fig|1773.30303.peg.1650	UniRef90_UPI002073ECB5	100	146	0	0	1	146	30	175	4.12e-102	298	Cluster: DegT/DnrJ/EryC1/StrS family aminotransferase	UniParc	1	Mycobacterium tuberculosis	175	0.9
fig|1773.30303.peg.1650	UniRef90_UPI002234EE6A	100	146	0	0	1	146	103	248	4.65e-102	301	Cluster: DegT/DnrJ/EryC1/StrS family aminotransferase	UniParc	2	Mycobacterium tuberculosis	248	0.9
fig|1773.30303.peg.1650	UniRef90_A0A060MQ81	99.315	146	1	0	1	146	1	146	6.6e-102	297	Cluster: TDP-4-oxo-6-deoxy-D-glucose transaminase	UniProtKB Unreviewed (TrEMBL); UniParc	7	Mycobacterium tuberculosis; Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra); Mycobacterium tuberculosis str. Haarlem/NITR202; Mycobacterium canettii (strain CIPT 140010059)	146	0.9
fig|1773.30303.peg.1650	UniRef90_UPI000C09CF38	99.315	146	1	0	1	146	74	219	1.84e-101	298	Cluster: DegT/DnrJ/EryC1/StrS family aminotransferase	UniParc	5	Mycobacterium tuberculosis	219	0.9
fig|1773.30303.peg.1650	UniRef90_A0A1R3XYJ3	99.315	146	1	0	1	146	237	382	2.09e-99	299	Cluster: dTDP-4-amino-4,6-dideoxygalactose transaminase (EC)	UniProtKB Unreviewed (TrEMBL); UniParc	40	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97); Mycobacterium bovis (strain BCG / Pasteur 1173P2); Mycobacterium tuberculosis variant bovis BCG str. Korea 1168P; Mycobacterium tuberculosis variant africanum K85; Mycobacterium tuberculosis variant bovis BCG; Mycobacterium tuberculosis; Mycobacterium tuberculosis variant africanum; Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra); Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv); Mycobacterium tuberculosis (strain ATCC 35801 / TMC 107 / Erdman)	382	0.9
fig|1773.30303.peg.1675	UniRef90_A0A0H3L8P4	100	106	0	0	1	106	1	106	8.14e-69	210	Cluster: Uncharacterized protein	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium tuberculosis (strain ATCC 35801 / TMC 107 / Erdman)	106	0.9
fig|1773.30303.peg.1675	UniRef90_A0A2I7W6X0	99.057	106	1	0	1	106	587	692	1.34e-63	213	Cluster: Uncharacterized protein	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium tuberculosis	692	0.9
fig|1773.30303.peg.1675	UniRef90_A0A3A0E1P4	35	80	47	2	12	89	82	158	3.2	37.4	Cluster: Right handed beta helix domain-containing protein	UniProtKB Unreviewed (TrEMBL)	1	Planctomycetota bacterium	602	0.9
fig|1773.30303.peg.1675	UniRef90_A0A2D2DGN8	46.341	41	22	0	52	92	180	220	5.9	36.6	Cluster: N,N-dimethylformamidase beta subunit-like C-terminal domain-containing protein	UniProtKB Unreviewed (TrEMBL)	1	Massilia violaceinigra	452	0.9
fig|1773.30303.peg.1675	UniRef90_A0A1Q7V7E2	34.722	72	40	3	12	79	1	69	8.5	35	Cluster: PilZ domain-containing protein	UniProtKB Unreviewed (TrEMBL)	1	Acidobacteria bacterium 13_1_20CM_4_56_7	109	0.9
fig|1773.30303.peg.1678	UniRef90_P9WLV2	99.617	261	1	0	1	261	1	261	0	536	Cluster: Uncharacterized protein MT1576	UniProtKB Reviewed (Swiss-Prot); UniProtKB Unreviewed (TrEMBL); UniParc	69	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh); Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv); Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97); Mycobacterium tuberculosis; Mycobacterium tuberculosis CAS/NITR204; Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra); Mycobacterium tuberculosis variant africanum K85; Mycobacterium bovis (strain BCG / Pasteur 1173P2); Mycobacterium tuberculosis variant bovis BCG; Mycobacterium tuberculosis variant bovis BCG str. Korea 1168P	261	0.9
fig|1773.30303.peg.1678	UniRef90_A0A975JX66	87.109	256	33	0	6	261	1	256	1.18e-168	475	Cluster: Glycosyltransferase family 2 protein	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium spongiae	256	0.9
fig|1773.30303.peg.1678	UniRef90_A0A0Q2QM79	85.547	256	37	0	6	261	1	256	1.93e-165	467	Cluster: Glycosyltransferase 2-like domain-containing protein	UniProtKB Unreviewed (TrEMBL); UniParc	4	Mycobacterium gordonae; Mycobacterium sp	256	0.9
fig|1773.30303.peg.1678	UniRef90_A0A7I9X413	85.882	255	36	0	1	255	6	260	6.24e-162	458	Cluster: Glycosyltransferase family 2 protein	UniProtKB Unreviewed (TrEMBL); UniParc	5	Mycobacterium kubicae; Mycobacterium sp. 1423905.2	266	0.9
fig|1773.30303.peg.1678	UniRef90_A0A1A1ZLK4	83.203	256	43	0	1	256	1	256	2.3e-159	452	Cluster: Glycosyltransferase 2-like domain-containing protein	UniProtKB Unreviewed (TrEMBL); UniParc	10	Mycobacterium sp. 852002-50816_SCH5313054-b; Mycobacterium sp. E3198; Mycobacterium terramassiliense; Mycobacterium sp. E787; Mycobacterium paraense; Mycobacterium interjectum; Mycobacterium alsense; Mycobacterium sp. E2699	266	0.9
fig|1773.30303.peg.1902	UniRef90_G0TKN1	90.826	1308	18	4	1	1206	1	1308	0	1788	Cluster: Ppe family protein	UniProtKB Unreviewed (TrEMBL); UniParc	373	Mycobacterium canettii (strain CIPT 140010059); Mycobacterium tuberculosis variant bovis BCG; Mycobacterium tuberculosis; Mycobacterium angelicum; Mycobacterium canettii; Mycobacterium tuberculosis complex	1308	0.9
fig|1773.30303.peg.1902	UniRef90_A0A9Q6KBL2	99.115	904	6	1	65	968	1	902	0	1644	Cluster: PPE family protein PPE24	UniProtKB Unreviewed (TrEMBL); UniParc	3	Mycobacterium tuberculosis	904	0.9
fig|1773.30303.peg.1902	UniRef90_A0A9Q6KBL2	55.871	528	181	11	554	1056	392	892	7.3e-113	384	Cluster: PPE family protein PPE24	UniProtKB Unreviewed (TrEMBL); UniParc	3	Mycobacterium tuberculosis	904	0.9
fig|1773.30303.peg.1902	UniRef90_A0A9Q6KBL2	51.941	541	179	12	580	1080	392	891	1.56e-98	345	Cluster: PPE family protein PPE24	UniProtKB Unreviewed (TrEMBL); UniParc	3	Mycobacterium tuberculosis	904	0.9
fig|1773.30303.peg.1902	UniRef90_A0A9Q6KBL2	34.277	318	182	9	808	1102	388	701	1.04e-26	129	Cluster: PPE family protein PPE24	UniProtKB Unreviewed (TrEMBL); UniParc	3	Mycobacterium tuberculosis	904	0.9
fig|1773.30303.peg.1902	UniRef90_A0A1X2CE37	72.824	1310	232	7	1	1206	1	1290	0	1585	Cluster: PPE domain-containing protein	UniProtKB Unreviewed (TrEMBL); UniParc	5	Mycobacterium riyadhense	1290	0.9
fig|1773.30303.peg.1902	UniRef90_UPI00045B455B	81.637	1307	112	11	1	1206	1	1280	0	1404	Cluster: PPE family protein	UniParc	12	Mycobacterium tuberculosis	1280	0.9
fig|1773.30303.peg.1902	UniRef90_A0A109SWY0	96.46	791	2	1	1	791	1	765	0	1391	Cluster: PPE family protein PPE24	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium tuberculosis variant africanum	766	0.9
fig|1773.30303.peg.1902	UniRef90_A0A109SWY0	52.108	332	122	7	610	934	460	761	5.4e-63	240	Cluster: PPE family protein PPE24	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium tuberculosis variant africanum	766	0.9
fig|1773.30303.peg.1902	UniRef90_A0A109SWY0	31.926	379	174	10	716	1084	457	761	1.82e-27	131	Cluster: PPE family protein PPE24	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium tuberculosis variant africanum	766	0.9
fig|1773.30303.peg.1902	UniRef90_A0A109SWY0	35.593	295	161	11	831	1102	451	739	5e-27	130	Cluster: PPE family protein PPE24	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium tuberculosis variant africanum	766	0.9
fig|1773.30303.peg.1902	UniRef90_A0A109SWY0	32.749	342	184	11	778	1102	447	759	1.13e-26	129	Cluster: PPE family protein PPE24	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium tuberculosis variant africanum	766	0.9
fig|1773.30303.peg.1902	UniRef90_A0A109SWY0	39.487	195	98	7	925	1103	447	637	1.48e-16	97.1	Cluster: PPE family protein PPE24	UniProtKB Unreviewed (TrEMBL)	1	Mycobacterium tuberculosis variant africanum	766	0.9
fig|1773.30303.peg.2126	UniRef90_A0A045IRF6	100	271	0	0	1	271	1	271	0	533	Cluster: ABC transporter permease	UniProtKB Unreviewed (TrEMBL); UniParc	61	Mycobacterium tuberculosis; Mycobacterium tuberculosis CAS/NITR204; Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra); Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv); Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh); Mycobacterium canettii; Mycobacterium canettii (strain CIPT 140010059); Mycobacterium tuberculosis (strain ATCC 35801 / TMC 107 / Erdman); Mycobacterium tuberculosis EAI5	271	0.9
fig|1773.30303.peg.2126	UniRef90_B2HE41	91.418	268	23	0	4	271	17	284	7.54e-168	474	Cluster: Conserved hypothetical integral membrane protein, YrbE3B	UniProtKB Unreviewed (TrEMBL); UniParc	53	Mycobacterium marinum (strain ATCC BAA-535 / M); Mycobacterium marinum; Mycobacterium basiliense; Mycobacterium shottsii; Mycobacterium ulcerans subsp. shinshuense; Mycobacterium liflandii (strain 128FXT); Mycobacterium pseudoshottsii; Mycobacterium stomatepiae; Mycobacterium simiae (Mycobacterium habana); Mycobacterium florentinum	284	0.9
fig|1773.30303.peg.2126	UniRef90_UPI001EFB88EF	88.806	268	30	0	4	271	15	282	4.23e-166	470	Cluster: ABC transporter permease	UniParc	1	Mycobacterium lentiflavum	282	0.9
fig|1773.30303.peg.2126	UniRef90_A0A1X1SRU7	88.192	271	32	0	1	271	1	271	2.04e-164	465	Cluster: ABC transporter permease	UniProtKB Unreviewed (TrEMBL)	3	Mycobacterium conspicuum; Mycobacterium alsense	271	0.9
fig|1773.30303.peg.2126	UniRef90_A0A3P3ZTJ7	83.146	267	45	0	4	270	30	296	1.41e-154	441	Cluster: Putative phospholipid ABC transporter permease protein MlaE	UniProtKB Unreviewed (TrEMBL); UniParc	8	Mycolicibacterium hassiacum (strain DSM 44199 / CIP 105218 / JCM 12690 /3849); Mycolicibacterium pulveris (Mycobacterium pulveris); Mycolicibacterium elephantis; Mycolicibacterium elephantis DSM 44368; Mycolicibacterium hassiacum; Mycolicibacterium gadium	297	0.9
